"","id","qid1","qid2","question1","question2","is_duplicate"
"94395",94394,157652,157653,"Why did Russia attack a hospital in Aleppo killing children?","Do you agrees that humans evolved a tendancy to almost blindly follow leaders and this can be dangerous?",0
"94536",94535,157854,157855,"How do you rank the strength of acid and base?","Which one is good to learn, unity c# or Unreal blueprint for complete beginner or non-programmer? Which will take more time or easy to learn?",0
"95363",95362,159054,159055,"What are the differences and similarities between Singapore and Brunei?","Is Brunei a developed country?",0
"96125",96124,160176,160177,"Why do I like girls soles?","I like girls bare soles?",1
"96941",96940,161390,26855,"How a boy flirt with girls?","How do I flirt with girl?",1
"97045",97044,161543,49867,"Why does Business internet cost more than Residential internet?","Why is the internet speed slow in India?",0
"97126",97125,161664,161665,"How does the reactivity of metals and nonmetals change as the atomic numbers of the elements in a group increase?","Why are alkali metals very reactive?",0
"97153",97152,161697,161698,"How much income do I need to show to bring my non-US fiance to the US?","How much money does a US citizen need in his bank account in order to bring his fiance from India to the USA on a fiance visa?",1
"97304",97303,161913,161914,"Why do I, as an engineer, have to study economics?","Why should an engineer study economics?",1
"97494",97493,23975,17537,"What is the easiest pain free method of committing suicide?","What is the cheapest method to commit suicide?",1
"98036",98035,162980,162981,"How is the valency of barium determined?","How is the valency of copper determined?",0
"98570",98569,20141,163778,"Does Adam D'Angelo take a salary at Quora?","What is the salary of Adam D'Angelo?",1
"98748",98747,104286,164049,"What is in your opinion best rock band ever?","What is the best Rock band ever?",1
"99349",99348,164939,164940,"Will the HTC desire 820Q get the Lollipop update? If so, then when?","When will the HTC Desire 626G+ get the Lollipop update?",0
"100158",100157,142825,2439,"How can I increase my English fluency?","How can I improve my English pronunciation?",1
"101620",101619,168311,168312,"What are the disadvantages of having a backlog in the first semester?","I have been selected for Amazon internship. However I missed an exam in my 7th semester. So I have a backlog. Is this going to be an issue?",0
"101710",101709,168438,168439,"How can I root Xiaomi Mi 5?","How should we root Xiaomi Mi Max?",0
"101793",101792,168554,168555,"Which one is having more mileage, Royal Enfield Thunderbird 350 or 500?","What is the mileage of Royal Enfield Thunderbird 350?",0
"101896",101895,168709,168710,"How effective is starvation for losing weight?","How effective is not eating for losing weight?",1
"102243",102242,169191,169192,"What can be said of a person who easily becomes friends with many people but never allows them to really get to know him?","Many people are comfortable opening up emotionally with me on the phone and via text but I never know how to respond. What words will comfort them?",0
"102666",102665,65078,169835,"How do you become a professional racing driver?","How do I become an F1 driver when you have limited resources and no racing history?",1
"104015",104014,171804,171805,"I completed my btech (mech) not interested to work. Am interested to start business but not getting ideas?","Why aren't there any Indian startups in the Air-Purifier segment?",0
"104110",104109,138440,171934,"What is the best IDE for C?","What is the best IDE for Centos?",0
"104844",104843,173035,173036,"I'm doing my second year MBBS. Will it be fine if I start my PG entrance preparation now or wait till I complete my internship?","Should I do an internship in MBBS or prepare for PG entrance instead?",0
"105349",105348,13555,19104,"How do you improve your writing skills?","How do I enhance my story writing skills?",1
"105523",105522,173998,173999,"Why is Hamilton, the Broadway musical, so popular?","Who has gotten wealthy from the Broadway musical Hamilton?",0
"105553",105552,62189,11000,"What are some dumb questions ever asked on Quora?","What are the most annoying questions that you feel ridiculous in Quora?",1
"106065",106064,174778,174779,"My friend asked me to eat lunch with her and we hang out a good bit . Does she like me?","I'm hanging out with a friend who I have a crush on. Is it weird to buy her the lunch if she might not be interested in me as more than a friend?",0
"106353",106352,175207,175208,"How do you get rid of nausea caused by eating too much?","How do I get rid of obesity without too much effort?",0
"106471",106470,175375,175376,"What are good online sites to learn about IT, programming, cyber security, etc.?","Where could I learn more about cyber security online?",1
"106870",106869,175952,25133,"What should we do after engineering?","What is the future scope of mechanical engineering?",0
"108937",108936,148258,128768,"Can I find love?","How do I find love?",0
"109507",109506,47531,114897,"Why are you going to vote for Donald Trump?","Why do I need to vote for Donald Trump?",0
"109637",109636,174024,179898,"What do you think will be the next big thing in India?","What will be the next big thing in India?",1
"110010",110009,180455,180456,"What is the difference between CSIR, JRF, NET, and UGC NET?","What is the difference between JRF and NET?",0
"110894",110893,181727,181728,"What are some books to understand human behaviour and human psychology?","What books can I read to understand human psychology?",0
"111467",111466,182562,182563,"What is patriotism?","What is patriotism according to you?",0
"112147",112146,60567,183541,"What are some of the most disturbing scenes in movies?","What are some most horrifying/gruesome scenes in movies?",0
"112547",112546,131684,184123,"What is the use of having flavors in the condoms?","What is the use of flavoured condoms?",1
"112706",112705,184366,184367,"What is your review of Price-hunt?","What is your review of Hunting?",0
"113276",113275,185173,185174,"If I score 130 IQ (SD 15) as a 15 year old on a 18 year old test, how much would I score as a 18 year old on the same test?","Say I got an IQ of 130 as a 15 year old, what IQ score should I then expect to get when I turn 18 years old assuming I grow up healthy?",1
"113385",113384,185325,50719,"Can I get pregnant through oral sex?","Can you get pregnant from oral sex?",1
"113948",113947,186091,186092,"Which VoIP services give you a free real phone number for the incoming calls?","Is there a service which gives you a free phone number which can be used to verify a Yahoo account?",0
"114696",114695,187178,187179,"Why is theOddOne so good at League of Legends?","Is League of Legends a good game? Why or why not?",0
"115095",115094,187743,187744,"How long does it take for the bleeding to stop after a wisdom tooth has been extracted? What are the measures to be taken to minimize bleeding?","Why my extracted wisdom tooth is hurting again after 3 years?",0
"116519",116518,8041,67768,"Can Height be increased after 18 or 19 years of age?","How can I increase my height after 18 years of age?",1
"117080",117079,36776,12062,"What is the best way to start learning C language within a month?","How do I start learning c language?",1
"117324",117323,190917,190918,"What are the best UX blogs and Twitter accounts to follow in the Los Angeles area?","What are the best CSAs that deliver to the Silverlake area in Los Angeles?",0
"117360",117359,190968,190969,"What things do people dislike the most about C?","What things do people dislike the most about C++?",0
"117487",117486,191163,191164,"How can I stop loving anyone?","How do you stop loving someone? Can you control who you love?",1
"118539",118538,192636,87961,"What are some unexpected things first-time visitors to Cambodia notice?","What are some unexpected things first-time visitors to Australia notice?",0
"119082",119081,193421,20688,"What happens when brain cells die?","What happens when a virus, bacterium etc interacts with a cancer cell?",0
"119307",119306,193734,193735,"Why is it that the dxomark has not done a review on the iPhone 7 plus camera despite it is in the market for a few months now?","Should I get the iPhone 7 or the iPhone 7 Plus?",0
"119487",119486,193995,193996,"Will 2016 be considered the worst celebrity deaths year in history?","Was 2016 the worst year for celebrity deaths?",1
"119806",119805,54157,17687,"Is it possible to hack someone's whatsapp messages?","How can I hack WhatsApp messages?",1
"119982",119981,194689,19732,"What is the funniest joke you have read or herd? Com on share with others also","Tell a joke that the funniest you have heard?",1
"120515",120514,195453,91372,"What was it like to work for Michael Milken?","What is negative working capital?",0
"120838",120837,153272,195933,"Should I try to get pregnant again?","What should I do if I want to get pregnant?",0
"121286",121285,196561,196562,"What are some features for NLP classifiers that can be used to differentiate between people who have psychosis and those who don't have it?","What are some features for NLP classifiers that can be used to differentiate between people who have ADHD and those who don't have it?",0
"121903",121902,197430,178444,"Has a major American presidential candidate ever called their opponent ""the devil"" before Trump?","The usual proportion for the width of key is. (a) d/8. (b). d/6. (c). d/4. (d). d/2.?",0
"122114",122113,92739,51168,"How does it feel to be a gay or lesbian in India?","How does it feel like to be a single closeted gay man in India?",1
"122263",122262,94986,197927,"What is the present situation regarding job opportunities in USA after doing MS in CS?","How is the job scenario after getting an MS degree in CS in the USA?",1
"122721",122720,145229,198565,"What are the qualities of a God fearing person?","Did humans make God out of fear?",0
"122909",122908,198832,198833,"For learning data science, is Data Camp better than Coursera's data science specialization?","Is data science too hard to learn?",0
"123248",123247,199311,199312,"How can I get over my analysis paralysis?","How does one deal with analysis paralysis?",0
"124542",124541,168095,22435,"Which is your favourite song?","Whats your favorite song?",1
"124905",124904,201605,201606,"Which is the best car air freshener?","What is the best car air freshener?",1
"124911",124910,201615,201616,"When women see an attractive man, what do they think and how do they react? In comparison, what do men think and how do men react when they see an attractive woman?","Why is low self-esteem considered so unattractive?",0
"125449",125448,34872,55619,"Is there any political solution between India and Pakistan on Kashmir issue?","What is the possible solution for Kashmir issue?",1
"125667",125666,202695,202696,"Do you like lattes or cappuccinos more, and why?","Which one is bitter in taste latte or cappuccino?",0
"126214",126213,203467,203468,"How can I become a faster speaker?","How do I become faster?",0
"126983",126982,204528,129533,"What is the relationship between sound and light?","Does light affect sound level?",0
"127388",127387,205085,205086,"What is the resolution of the human eye in megapixels?","If an eye is compared to a camera, what is the resolution of an eye?",0
"128142",128141,206130,206131,"How much does a quant earn?","How much do quants make?",1
"128181",128180,178852,206193,"What are the best halloween costumes for cats?","What are some of the best Halloween costumes ever?",0
"128326",128325,206402,206403,"What are the 4 A's of rural marketing?","How to do Rural Marketing?",0
"130056",130055,163671,1444,"What is the most beautiful thing you've seen?","What is the most beautiful thing that you have ever seen?",1
"130076",130075,208821,208822,"Do you really get the money on Quora as on YouTube for the views on your answer?","Do we get money for YouTube views?",0
"131187",131186,210393,210394,"Which is the best phone to buy in the range of INR 10k-12k? (7 July 2016)","Which phone should I buy in the range of INR 10-12K in July 2016?",1
"131328",131327,210592,210593,"Why do a car's seat slightly lean back while a normal chair has straight sitting posture?","If I go out with my sister and my girlfriend, who should sit in the front passenger seat of the car? Should I pull out chairs for both of them at the restaurant?",0
"132065",132064,75436,211583,"How can this six-letter word be completed _h_a_t?","Is this Kazakh? How come I don't understand a word they say?",0
"132098",132097,211630,211631,"How do I tell my spouse I'm agnostic?","How do I tell my parents that I'm agnostic?",0
"132525",132524,184198,212181,"How do I become attractive?","How can you be more attractive?",1
"132671",132670,212394,212395,"Is it true that smart people are genrally more passionate?","If I search some thing in Google trends, does it count as a search?",0
"133492",133491,213538,213539,"Does a person get credit for anonymous questions and answers?","Would I get credits for anonymous questions/answers on Quora?",1
"133606",133605,6424,116118,"How do you know if a person is lying?","What are some tips to know when someone is lying?",1
"133999",133998,214257,214258,"What is the difference in time between places one degree longitude apart?","Is it possible to give the location of a place with position vectors instead of latitudes and longitudes?",0
"134753",134752,150202,26804,"What do you think of the the movie Fantastic Beasts and Where to Find Them? How did it appeal to you?","What did you think of the Fantastic Beasts and Where to Find Them movie?",1
"134779",134778,215352,215353,"What is the best hiit workout?","What are the best HIIT workouts?",1
"134967",134966,215625,215626,"What are some good detective crime/drama/thriller movies which are kinda dark like Zodiac, Se7en, the TV show True Detective, Memories of Murder, Marshland, etc.?","What are some good horror thriller Hollywood movies?",0
"135515",135514,195928,216386,"What are the advantages and disadvantages of nuclear power?","What ser some advantages and disadvantages of Nuclear power?",1
"136265",136264,217447,112262,"Are there any plans to re-engine the B-52 to more modern engines?","Would it make sense to replace the B-52's 8 1960s vintage TF33 engines with 4 modern General Electric GE90 (or similar) engines?",0
"136909",136908,42146,8809,"Whose win will be beneficial for India-Donald Trump or Hillary Clinton?","Who would be better for India, Donald Trump or Hillary Clinton?",1
"137300",137299,218852,112818,"Which is the best way to learn Programing language?","What is the easiest way to learn a programming language?",0
"137840",137839,219620,219621,"Who solved the Great Depression? How?","Who solved the Great Depression?",1
"138333",138332,220298,220299,"Is developphp.com the best site for learning web designing?","Which is the best site to learn web designing and development?",0
"138564",138563,220603,220604,"How can one stay in pitch when everyone else sings off key?","If someone suddenly requests for you to sing a song that you know, would you automatically sing/know it in its original key?",0
"139009",139008,176416,9262,"What should I do to improve my English language?","How can I become fluent in English?",0
"139060",139059,116900,69649,"What is a verified profile on Quora?","What does it take to be verified on Quora?",1
"139094",139093,221335,221336,"Is multiple sclerosis contagious?","How contagious is a multiple sclerosis?",1
"139134",139133,221390,221391,"Does Shutterfly ship to the UK? If so, what are the shipping rates?","Why is it that when Shutterfly, a company that is currently taking huge losses, gives away money as a marketing strategy but the retail investors don't get tax deductions because the company they invested in is giving away money?",0
"139243",139242,221543,221544,"How do you blow-dry your curly hair straight?","How do you blow-dry your hair straight?",0
"139257",139256,149739,221563,"How would you quickly learn a language?","Which are the best methods to learn a language?",1
"139707",139706,222181,222182,"Is Mia's husband a good man?","How do I leave a perfectly good husband?",0
"140179",140178,222805,222806,"Which is the best university in indiato do MBA in marketing?","Which is the best university for mba in marketing?",0
"140828",140827,223722,223723,"Are there flying fishes?","Where have you been fly fishing?",0
"140884",140883,223799,223800,"Why can't you play DVDs on a Wii?","How do you play DVDs on a Wii?",0
"140980",140979,148554,60729,"I am a student of Electrical engineering,what are career options after B.tech excluding IES?","What are the career options for an electrical and electronics engineer in the IOT field?",1
"141156",141155,224159,224160,"What is the nature of business?","What is the nature of business communication?",0
"142221",142220,225605,225606,"How long will the side-effects of Viagra/suhagra 50 mg pill lasts on a 22 year healthy guy?","How long do the side effects of the Dex-pak last?",0
"142290",142289,73804,7378,"What are the differences between eccentric and concentric contraction? What are some examples?","What are some symptoms of eccentric and concentric contractions?",1
"142313",142312,225722,225723,"Why are women's Olympic beach volleyball uniforms bikinis, while men play in long shorts and shirts?","Why do men in olympic beach volleyball get to wear comfortable shirts but women have to wear bikinis?",1
"142568",142567,226067,226068,"What do you do when you have quarter life crisis?","What is a quarter life crisis?",0
"142983",142982,226639,226640,"How do I grow my influence on Quora?","How can I grow famous on Quora?",1
"143467",143466,227292,227293,"When do electrons get free out of the atom? How much energy is needed to take an electron completely out of its orbit and atom?","When an hydrogen atom's electron from the 2s orbital drops back to the 1s, does it give out a red photon with a wavelength of 656 nm?",0
"144004",144003,228031,228032,"What is the best blogging engine for a programmer?","What is the best blog?",0
"144210",144209,107951,85367,"I want to write a book - where should I start?","I love to read books, but I also want to write. How should I start?",1
"144371",144370,228505,228506,"How does it feel to live in Saudi Arabia as an expatriate?","Why do expatriates in Saudi Arabia love the country so much despite there being clear discrimination towards expatriates there?",0
"144480",144479,228649,228650,"What are the govt exams after BCA?","What is the most badass thing about Bill Hicks?",0
"145100",145099,185095,83936,"I don't know how to move on from my past relationship. How do I move on?","How I can move on from past relationships?",1
"145201",145200,229628,229629,"How much does it cost to build a payment gateway in India?","How much does it cost to build a payment gateway?",0
"145378",145377,229862,229863,"Is it okay if I'm gonna message my ex for the last time to bid again my goodbye to him even we already had our closure before?","I get anxious when someone is interested in me. How can I deal with it and give it a try?",0
"145949",145948,230655,171853,"What are some lesser-known sights to see when visiting Taguig City, Philippines?","What are some lesser-known sights to see when visiting Angeles City, Philippines?",0
"146534",146533,231438,231439,"Kindle how costly are books?","Which book is best to study about Rhine River Civilization and History?",0
"146596",146595,231526,231527,"Is it easy to crack the versant test?","Is it easy to crack versant test?",1
"146631",146630,231576,231577,"Did you believe W that Iraq had WMDs or did you vote for the war knowing Iraq didn't have WMDs?","Did we find WMDs in Iraq?",0
"146788",146787,231799,231800,"Is it physically possible to survive a free-falling elevator?","Why does free fall take away gravity?",0
"147289",147288,232485,232486,"What are some real life examples of the law of conservation of mass?","What is an example of the Law of Conservation of Matter?",0
"147793",147792,233160,233161,"Why has Narendra Modi not visited Canada?","Would most girls not care if I'm awkward with flirting? Or would most think I'm a creep?",0
"148401",148400,234000,234001,"What does proof collation mean in editing?","Is photo editing cheating?",0
"148675",148674,11796,80722,"Why the hell does Quora mark all my questions as needed improvement?","How often do you mark questions as ""needing improvement"" on Quora?",1
"149094",149093,234938,234939,"How much do Uber drivers make in Houston?","How much does an Uber driver make in Houston on average?",1
"150041",150040,236223,236224,"Would it be clever for the Syrian Kurdish PYD to let the Free Syrian Army and ISIS fight it out in this so-called 'safe zone', then fight the weakened victor in order expand Rojava?","Why is Russia bombing the rebels in Syria?",0
"150344",150343,236636,236637,"What is lacking in today's social networking services?","What is currently lacking in social networks?",1
"150681",150680,23706,35158,"Why is Donald Trump not racist?","Why do people call Trump racist?",1
"151530",151529,238243,238244,"How accurately does Brooklyn Nine-Nine depict police procedures?","How many episodes of Brooklyn nine nine season 3 have aired?",0
"151549",151548,238269,238270,"What are good python libraries to implement reinforcement learning for a blackjack playing algorithm (assuming Q-Learning)?","How are capacitors banks useful in saving electricity costs domestically?",0
"152018",152017,238925,238926,"Teachers, how do you feel about student who try to be close to you in a friendly manner?","Is it legal to carry a pocket knife in Melbourne Australia?",0
"152383",152382,239409,239410,"How do you describe the ocean to someone who has never experienced it?","What's the best way to describe depression to someone who has never experienced it?",0
"152528",152527,78087,239628,"How do I become an international arms dealer?","How do I become an international arms dealer from Pakistan?",0
"152540",152539,239644,239645,"Why is my laptop so slow?","Why is my laptop very slow?",0
"152901",152900,99637,240129,"Are you at the worst moment of your life?","Is it possible to get a free Let’s Encrypt SSL certificate straight through a hosting control panel interface?",0
"152925",152924,240160,26594,"Where can I find some help with these questions?","How do you answer this question?",0
"153802",153801,239697,55980,"How do I start business, if I have no money?","Is it possible to start a business with little to no money? How?",1
"154195",154194,241871,241872,"Which shampoo and conditioner should be used for curly, puffy & dry hair?","Which shampoo and conditioner should be used for straight hair?",0
"154940",154939,242826,242827,"Procedure to marry American?","What is the procedure to marry an American?",1
"154945",154944,242834,242835,"How do Egyptians compare to other Arabs?","How are Egyptians perceived by other Arabs?",1
"155460",155459,133107,43708,"Who was the worst president in U.S. history and why?","Who have been the 5 worst American Presidents?",0
"155502",155501,243599,243600,"What is the best place to learn English?","Where is the best place learn english",1
"156322",156321,106888,26684,"What is the utility behind removing Rs 1000 notes and rather introducing Rs 2000 notes in order to curb black money?","What's new about the new 2000 rupee note that will help curb black money?",1
"156398",156397,13324,15671,"How did Donald Trump win the 2016 Presidential Election?","How and Why did Donald Trump win the election?",1
"156586",156585,245049,245050,"What is the difference between a parametric model and a nonparametric model in CAD?","What is the difference between the parametric model and the non-parametric model in cad?",1
"156993",156992,245573,86283,"How do I translate assammee language into english?","How do I translate “吃香喝辣” into English?",0
"157001",157000,245582,245583,"What are some helpful tips for taking the Coney Island Road Test?","How do I pass my road test?",0
"157421",157420,67024,86640,"Where can I watch Dragon Ball Z episodes english dubbed?","Where can I watch Dragon Ball Z: Battle of Gods in dubbed English?",0
"157479",157478,10397,183383,"How is it like to work in IT company?","What it is like working in IT company?",1
"157681",157680,246486,246487,"How did Hoshina Masayuki become a well known samurai?","Have there been any plane collisions similar to the Tenerife disaster?",0
"158359",158358,144596,247406,"Where can I sell old coins in India?","Does anyone buy old coins in eBay-India having huge price?",0
"158442",158441,247517,165851,"What are some of the best examples of hypocrisy in India?","What are some best examples of hypocrisy at its best around the world?",1
"159140",159139,248473,248474,"Which hair wax is better - Ustraa or Beardo?","Do people usually mortgage houses in the US?",0
"159998",159997,62105,17886,"Is the PS4 or the Xbox One better?","Which gaming console should I buy: PS4 or Xbox One?",1
"160256",160255,38874,38467,"What are the innovative Ideas to curb pollution from Delhi?","How can we curb pollution in Delhi NCR?",1
"161009",161008,250997,250998,"Are people getting paid to like things (posts, pages, etc.) on Facebook?","How can I copy links on my Facebook page to get paid and which website will give me those links?",0
"161136",161135,251155,251156,"What are the tips and hacks for getting the classes that you want as a freshman at Central Washington University?","What are the tips and hacks for getting the classes that you want as a freshman at the George Washington University?",0
"161520",161519,251670,251671,"Do you think ""the local"" newspaper is a left wing agenda baised? I saw very few articels about migrants crimes in Europe mainly in Germany..","What is the difference between paramagnetism and diamagnetism? What similarities do they share?",0
"162130",162129,252460,252461,"Can Apple innovate without Steve Jobs?","Did innovation at Apple die with Steve Jobs?",0
"162361",162360,252768,252769,"How can I choose between 2 cities to live in?","Why is Target so successful?",0
"162495",162494,150521,252953,"How much does Twitter pay a new grad software engineer?","How much does Palantir pay a new grad software engineer?",0
"162530",162529,253001,253002,"How many percent is Geert Wilders Indonesian?","How did a country as tolerant as the Netherlands elect Geert Wilders?",0
"162949",162948,253576,253577,"What are some of the best bike inventions that you have to try?","What are some of the best bike inventions?",1
"162964",162963,253599,253600,"What are some of the best cancer biology graduate programs in United States?","What are top ranked Graduate Programs in Biological Sciences?",0
"163662",163661,254509,240357,"What is the largest bird in the universe?","What is the biggest bird in the world?",1
"163704",163703,254567,254568,"What should I get my 16 year old brother for his birthday?","What should I get my 17, almost 18 year old sister for her birthday?",0
"163987",163986,25055,60797,"What are prons and cons of banning and replacing ₹500 and ₹1000 Notes in India?","What are the pros and cons of banning and replacing ₹500 and ₹1000 notes in India?",1
"164062",164061,89547,62336,"Who will be the president of usa?","Who will be president of the united states?",1
"164725",164724,255893,255894,"If everyone who lives in Texas ran for Governor of Texas who would win?","What are some good medical universities that offers from bachelor degrees to doctoral degrees for international students?",0
"166128",166127,71681,12018,"How can I reset/change my password for a different Gmail account from my new account?","How can I reset my Gmail password when I don't remember my recovery information?",0
"166264",166263,258029,258030,"Would US elections be any different if everyone who was allowed to vote did so?","She sits near me daily and looks like she is interested in me. She dresses up sometimes, how should I make her tell me about her feelings?",0
"166805",166804,258737,258738,"Is there a book that does a better job than Griffith's Introduction to Quantum Mechanics?","Is Quantum Mechanics by H.C. Verma a good book?",0
"167009",167008,259000,259001,"Where do I find part time jobs in Bangalore?","How can I find a part time job in Bangalore?",0
"168063",168062,260404,260405,"Who are the major Facebook shareholders and what percentage of the company do they own after the WhatsApp acquisition?","Who are the major Facebook shareholders and what percentage do they own?",0
"168084",168083,260439,260440,"What's your favorite work of art?","What is your favorite work of art?",1
"168557",168556,261067,261068,"What are the strongest majors in terms of job prospects and what are the weakest majors at Southeast Missouri State?","What are the strongest majors in terms of job prospects and what are the weakest majors at Northwest Missouri State?",0
"168964",168963,261592,261593,"Is work experience necessary for pursuing MIMS in UC Berkeley? What if I have no work experience, what is the chance of selection?","I have below average GPA and GRE scores and roughly a year's worth of relevant work experience. Is it worth applying for M.Eng at UC Berkeley?",0
"169718",169717,262559,262560,"How is professional satisfaction in working as doctor with railways through combined medical services if I have done my pg?","As a medical doctor from the West, how is it to live and work in India?",0
"169793",169792,94463,72439,"How do I start learning machine learning and data science using python?","How should I start learning Python for Data Science?",1
"170212",170211,263231,263232,"Would you date somebody with schizophrenia?","Would you date someone with schizophrenia? Why or why not?",0
"170546",170545,221150,29241,"What color compliments artichoke green color?","What colors go well with green?",0
"170598",170597,263744,263745,"What did Biswa Kalyan Rath study at IIT?","Who has been Biswa Kalyan Rath's inspiration for stand-up comedy?",0
"170884",170883,264158,264159,"How can I register my email ID and phone number in an Aadhar card - UID online?","How can I link my mobile no. and email address to an existing Aadhar card number?",0
"171454",171453,264900,264901,"What are some ways to remove Viewster?","How do I remove Viewster on my Android?",0
"171539",171538,51378,168630,"What is your biggest and weirdest pet peeve ever?","What's your biggest pet peeve?",1
"171687",171686,265253,265254,"How can I get JEE Main 2014 Paper 1 Answer Key?","When will we get the final JEE Main's answer key?",0
"171728",171727,265311,257135,"Does having a good profile picture brings you more upvotes?","Have you noticed that your profile picture affects upvotes?",1
"172317",172316,15440,176693,"Why don't we have cars that run on water?","Is there a car engine that could run on water?",1
"172407",172406,266193,165950,"What are some advantages and disadvantages of computer?","What are the advantages and disadvantages of computer?",1
"172426",172425,202861,16095,"How is the word 'atmosphere' used in a sentence?","How is the word 'ingratiate' used in a sentence?",0
"172798",172797,266716,266717,"What are the top 20 Finance MBA colleges of UK and US location (Specialised in Private Equity)?","Is MBA finance and HR an odd combo for dual specialisation?",0
"172904",172903,266858,266859,"If both husband and wife in India are working and both of them have different health insurance policy from their companies, can they use both those policies to claim for maternity expense reimbursements by splitting it?","Why are there no good health insurance policies in India like they have in the US?",0
"173136",173135,267164,267165,"Where did hair plaiting start?","How do you plait your hair?",0
"173265",173264,267322,267323,"Why in some cases spin forbidden transitions are also allowed; although their molar absorption co-efficient is very less?","What is the importance of molar mass?",0
"173488",173487,267632,86508,"What do Jake Williams think about teenagers fighting on Quora?","What do you think about teenagers on Quora?",0
"173540",173539,267698,267699,"How should I use frameworks in a case interviews?","How many and which are all payment gateways in EU/Europe?",0
"173592",173591,267757,267758,"How can I make my account?","What are good ways to make account on line?",0
"173676",173675,267864,61028,"What are the most innocent websites on the dark web?","What are the most disturbing sites on the ""dark web""?",0
"174021",174020,268302,268303,"How TCS validate the UK visa eligibility?","What are some ways to drink the recommended amount of water?",0
"174882",174881,269403,269404,"What is it like to meet Mario Gotze?","How can I meet Aliko Dangote?",0
"174890",174889,269414,269415,"Which is the best hospital to undergo LASIK surgery in Bangalore with lowest price ?","Which is the best eye care hospital for a LASIK laser treatment in Karnataka?",0
"175220",175219,269832,269833,"What are some of the best productivity hacks used among siliconvalley employees?","What are the best productivity hacks used among siliconvalley employees?",1
"175654",175653,139862,270415,"What is the nursing care plan for hyperlipidemia?","What is a nursing care plan for a headache?",0
"175911",175910,270776,4734,"What are the best applications of the best programming languages?","What are the best programming languages to learn today?",0
"176028",176027,270929,270930,"If my gravity reversed polarity and a object that weighed the same as me hit me as it was falling upwards what would happen?","Would you pay to hike in a private commercial park if it were interestingly developed?",0
"176177",176176,271109,271110,"Why do Indians worship the sun?","Why should Indians worship the sun?",1
"177937",177936,273406,273407,"What is the average salary of a MIS graduate from NEU Boston?","What is the average salary of MIS in Canada?",0
"178046",178045,273541,273542,"Why does drinking Sprite help when you're sick?","What foods do you eat when you're sick in your country?",0
"178089",178088,273601,273602,"How do I make a symposium more interesting?","What is the difference between a summit, a forum and a symposium?",0
"178122",178121,273640,273641,"What is the hardest part about being a mother?","What is the hardest part of being a mother?",1
"178278",178277,84697,7148,"What are the best evidence for aliens existence? (Photos)","Is there any proof or evidence of alien / extraterrestrial life existence?",1
"178392",178391,274001,274002,"How can I solve this Algebra question?","How do I solve this algebra question?",0
"178639",178638,274313,274314,"Does the Hinduism have particular rules in fasting?","Are there any particular rules for fasting in Hinduism?",1
"179175",179174,185958,275005,"How can you get pregnant? And why can't you?","What is the best way to get pregnant?",0
"179300",179299,114570,8755,"What is the application of full wave rectifier?","What are the applications of half wave rectifier?",0
"179700",179699,33412,17854,"Why do so many people ask questions on Quora that can be found in a Google search?","Why do people bother to ask questions on Quora they could just google to get the answer?",1
"179934",179933,168403,72957,"What are the best books for the beginners to learn Java?","What would be the best book to begin with for Java?",1
"180286",180285,276438,276439,"How do you judge people's character?","How can we judge a person's character?",1
"180324",180323,276494,276495,"What was Bilbo's birthday speech in the book The Lord of the Rings by J. R. R. Tolkien?","Which is more important, Press Release or Social Media?",0
"180326",180325,276497,276498,"Will property prices go down after demonetization in India? If yes, how?","Are property prices finally going down?",0
"182278",182277,1178,185894,"What is the meaning of life? Whats our purpose on Earth?","What's our purpose of life in this world?",1
"182367",182366,53881,279132,"What are some of the ways to establish trust in dealings abroad?","In a recent episode of Curb your Enthusiasm Larry orders the ""all you can eat"" buffet and then seeks to share some of his food with others who ordered a set meal. What is the strict legal position regarding this?",0
"182806",182805,279698,279699,"Federal government ""ruled"" during the gilded age?","What can I do to reduce the chances of my children becoming sexual deviants?",0
"183296",183295,59852,31199,"Why is GST amendment a gamechanger for Indian Economy?","How can GST be beneficial to the Indian economy?",1
"183517",183516,112994,280618,"How can I become a multi-millionaire in 5 years?","How can I become a millionaire in 5 years?",1
"183743",183742,280893,280894,"Why no one is helping Aleppo?","Why is nobody helping Aleppo?",1
"183853",183852,281033,281034,"What is the difference between dividend and growth in mutual funds?","What is difference between dividend plan and growth plan in mutual funds?",1
"184185",184184,281464,281465,"What is it to be a business analyst in amazon?","Job Interviews: How do I prepare for Business Analyst interview for Amazon?",0
"184377",184376,8029,192224,"How do I get rid of keratosis pilaris on my tricep areas?","What causes keratosis pilaris and how can it be treated or prevented?",1
"184473",184472,30793,281832,"Group Sex: What is it like to have an orgy?","What's it like to go to an orgy?",1
"184737",184736,282175,282176,"How can I correct errors in InDesign pages?","How do I put Photoshop images on one page in InDesign?",0
"184877",184876,282354,282355,"How do I develop logical skills in Java programming?","If Mark Zuckerberg came in for an interview in disguise, would he have the skills/education needed to be a programmer at Facebook?",0
"185110",185109,56388,272537,"Which is the largest organ in the human body?","What is the largest organ of the body?",1
"186230",186229,284114,160763,"Which is better: Java or .NET?","Which is better, Java or Python? And how?",0
"186284",186283,107987,30450,"What are some good ways to get rid of belly fat?","How do I get rid of jelly belly?",1
